PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
31.8441,0.9216,0.08,13.1314,6.6114,8.6618
32.0985,0.9225,0.0706,13.5359,6.8013,8.5595
32.2525,0.9298,0.0703,13.5063,6.6804,8.8608
32.6334,0.9254,0.0753,13.5563,6.8941,9.0795
31.6892,0.9232,0.0732,13.6176,6.9303,8.7018
32.13,0.9262,0.0756,13.3661,6.3252,8.7099
31.8131,0.9271,0.0718,13.6437,6.9961,9.3909
32.0751,0.9336,0.0735,14.5039,7.2622,8.6615
32.1907,0.9221,0.0721,14.0934,7.1013,8.339
32.0009,0.9215,0.0751,13.7125,6.2737,9.1542
30.9133,0.9308,0.0758,13.6598,6.7823,8.8249
31.4866,0.9217,0.0709,13.3108,6.5814,8.6363
31.6018,0.9151,0.0725,13.6343,6.4948,8.8245
32.1548,0.9296,0.0741,13.2473,6.9217,8.8559
31.5799,0.9241,0.0762,13.4454,7.0455,9.2183
31.5244,0.9223,0.0744,13.0382,7.0057,8.6681
32.2233,0.9279,0.0725,13.3003,6.8564,9.0678
31.6303,0.9137,0.0784,13.9497,6.4877,8.7433
32.2607,0.9185,0.0755,14.1621,6.8195,8.7211
32.3589,0.926,0.0754,13.6033,7.0042,8.3673
33.1199,0.9282,0.0747,13.1835,6.951,8.4986
31.986,0.9183,0.0696,13.6836,6.8075,9.027
32.2323,0.9143,0.0714,13.2454,6.7525,8.6331
32.0623,0.9287,0.074,12.8824,6.9549,9.1917
30.6094,0.9272,0.0805,13.4585,6.6523,9.0795
33.2724,0.9298,0.0727,13.8831,6.8019,8.5825
32.2363,0.9264,0.0706,14.3261,6.8036,8.2708
31.8503,0.9282,0.0694,13.7261,7.1216,8.7106
31.4921,0.9398,0.0727,13.4023,6.7769,8.1363
32.4109,0.925,0.0747,13.7079,7.2744,8.4322
31.1404,0.9304,0.0709,13.4109,6.688,8.6541
30.9085,0.9218,0.0727,14.072,6.607,8.6697
31.8501,0.9277,0.0695,12.8098,7.2246,8.4966
31.8744,0.9251,0.0735,13.7776,6.9714,8.2332
32.2567,0.9215,0.0702,14.196,6.4314,8.2172
32.3541,0.9212,0.072,13.1107,6.6738,8.9549
31.4529,0.9259,0.0761,13.7197,6.9989,8.1796
32.2218,0.9167,0.0731,13.0752,6.4971,8.6448
31.9142,0.9277,0.0717,14.2079,7.1425,9.4516
32.3995,0.9118,0.0781,13.9733,6.5929,8.6483
32.0471,0.9276,0.0718,13.4933,6.678,8.5266
31.6127,0.9203,0.0769,13.5152,6.5209,7.9737
32.2466,0.9298,0.0729,13.1153,7.0525,8.5082
31.9748,0.9186,0.0735,13.8202,6.6489,8.6249
31.3736,0.9194,0.0767,13.8515,6.7776,8.6934
31.8395,0.9274,0.0722,13.543,6.8227,9.4669
32.8438,0.93,0.0752,13.7339,6.3163,8.8269
31.3468,0.9237,0.0699,13.8874,7.4816,8.9316
32.593,0.9226,0.0745,13.81,6.9306,8.9982
32.1597,0.923,0.0729,13.6801,6.84,8.2996
