PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
34.1563,0.955,0.0379,11.0954,7.5545,6.1501
32.8988,0.9605,0.0387,11.3659,8.073,6.4348
32.4953,0.9608,0.034,10.6923,8.1055,6.3439
32.9911,0.9571,0.0355,10.115,7.8056,6.5881
32.4737,0.9484,0.0365,10.613,8.1713,6.1927
33.0554,0.9544,0.0295,10.6034,8.5567,6.7939
32.4034,0.9608,0.0297,10.2788,7.1391,6.0071
33.6324,0.9597,0.032,10.6403,8.0967,6.0087
33.2591,0.9648,0.0364,11.1302,7.6877,6.6507
33.1104,0.9553,0.0366,10.5255,7.6559,6.6877
33.1562,0.9615,0.0391,10.9794,7.5208,6.4079
32.6102,0.9493,0.0346,10.7926,7.0094,5.9573
33.1959,0.9641,0.0276,9.9824,7.5422,6.4653
32.6733,0.9633,0.0397,11.0985,7.7451,6.5408
32.5389,0.9593,0.0303,10.3563,7.671,6.8991
33.0877,0.9607,0.033,10.5004,8.2638,6.7438
33.3535,0.9615,0.0338,10.9283,7.3958,6.1967
33.4199,0.9591,0.0366,10.8823,8.1699,6.3457
33.4113,0.9729,0.0362,10.3629,7.4751,6.2535
33.0088,0.9531,0.0333,11.1849,7.9625,6.2341
33.6573,0.9607,0.0392,10.8729,7.9546,5.98
33.5427,0.9642,0.0378,10.8035,7.2139,6.2385
32.5353,0.9518,0.0285,10.7062,7.3269,6.6411
33.1068,0.9568,0.0387,10.9066,7.9912,6.9335
33.3297,0.9625,0.0414,11.1241,7.6887,6.7796
33.3381,0.9669,0.0364,11.1322,7.8812,6.59
33.9462,0.9683,0.0321,10.481,7.597,6.0719
33.4091,0.9531,0.0358,10.6962,7.8368,6.5904
33.1906,0.967,0.0342,10.4724,7.353,6.5223
33.9353,0.9623,0.0333,10.8314,8.0666,6.6646
32.6517,0.9609,0.0333,10.6197,7.54,6.2657
33.1064,0.9564,0.0392,10.4254,7.5583,6.4738
33.0422,0.9705,0.0454,10.5288,7.6588,7.0062
32.1377,0.9652,0.0354,10.752,7.7747,6.4686
32.773,0.9582,0.0401,10.9669,7.6131,6.6055
33.4382,0.9628,0.0334,11.1787,7.2922,6.5365
33.0552,0.9677,0.0321,10.7777,7.6774,6.7126
32.6433,0.9596,0.0378,10.5399,7.5159,6.4685
33.1536,0.9534,0.0362,10.6566,7.5675,6.7009
34.0725,0.9681,0.0383,10.5741,7.5486,6.2578
33.0104,0.9568,0.0314,10.1921,7.7782,7.1719
34.1305,0.9588,0.0339,10.6718,7.7464,6.6245
32.7995,0.9482,0.0364,10.9933,7.4727,6.5401
33.0082,0.9481,0.0365,10.6132,7.9207,6.2026
33.1393,0.963,0.0311,10.5878,7.8108,7.021
33.8584,0.9601,0.0393,10.7309,7.7036,6.1673
33.1137,0.9513,0.0369,10.7982,7.8615,6.135
32.1858,0.9684,0.0338,10.3785,8.1353,6.1449
32.834,0.9653,0.0382,10.6841,7.6485,6.3993
32.1394,0.9569,0.0339,11.4706,7.9522,6.1738
