PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
34.5127,0.9806,0.0268,10.3726,5.9521,10.0755
34.9334,0.9748,0.0274,10.4495,6.0346,9.6001
33.8261,0.9729,0.0273,10.4737,5.9601,9.6263
34.1889,0.9707,0.0251,10.6173,6.5249,9.7227
34.1064,0.9777,0.0279,10.7107,5.8343,9.8483
33.9774,0.9715,0.0292,10.5994,6.0962,9.1921
34.8403,0.9673,0.0264,10.3579,6.1363,10.0634
34.3448,0.9727,0.0262,10.7,6.0099,9.6267
34.4713,0.9689,0.0264,10.709,6.0328,9.7214
34.3339,0.971,0.027,10.4751,6.1986,9.8821
34.0558,0.9769,0.0267,9.9476,6.2501,10.1371
33.8543,0.9629,0.0255,10.7275,6.1543,9.4508
34.7565,0.9622,0.0284,10.6346,6.345,9.5268
33.5189,0.9747,0.0244,10.304,6.1133,9.867
34.8846,0.9797,0.0284,10.7258,6.2739,9.7853
34.4271,0.9763,0.027,10.5416,5.8024,9.9749
34.2748,0.9675,0.0267,10.1356,6.0342,9.5541
33.9146,0.9725,0.0278,10.1842,6.3411,9.7253
34.9808,0.9794,0.0276,10.7161,6.0108,10.1077
33.7556,0.9677,0.0272,10.6261,6.4451,9.4849
33.6379,0.9718,0.0274,10.5526,6.486,9.6444
34.0886,0.9783,0.028,10.5409,6.395,9.6917
34.5493,0.9769,0.0271,10.2957,5.8105,9.6701
34.3295,0.9645,0.0268,10.4383,5.8981,9.6136
34.8991,0.9699,0.0285,10.4594,6.23,9.79
34.5864,0.97,0.0263,10.3456,5.6579,9.8638
34.2591,0.9736,0.0274,10.767,6.2031,9.6296
33.981,0.9775,0.0288,10.3543,6.2183,9.6603
33.764,0.9788,0.0253,10.2704,5.9555,9.8408
34.6451,0.9724,0.0254,10.7578,6.294,9.6993
33.7473,0.9725,0.0275,10.2821,6.4576,9.3113
34.2836,0.9653,0.0257,10.2859,6.2327,9.919
34.7265,0.9759,0.0275,10.5974,6.1499,9.8538
34.856,0.968,0.0269,10.3758,5.95,9.6632
34.3306,0.9693,0.0286,10.6765,6.32,9.7782
34.5424,0.9701,0.0258,10.5586,5.8423,9.6526
34.1579,0.9863,0.0272,10.6518,6.2568,9.7829
35.0496,0.965,0.0259,10.8162,6.395,9.8328
33.782,0.9738,0.0278,10.4921,5.8467,10.3227
34.5155,0.9733,0.0265,10.2941,6.2078,9.7896
34.292,0.9734,0.0276,10.4007,6.2666,10.0549
33.6606,0.9685,0.0277,10.4538,6.184,10.0308
34.8257,0.9811,0.0276,10.5693,5.9292,10.0989
34.4776,0.982,0.0267,10.0036,6.4148,9.8719
35.0366,0.9657,0.0281,10.6852,6.086,10.0637
34.4472,0.9771,0.0256,10.644,6.4139,9.5588
35.1062,0.9748,0.0283,10.6006,6.1014,9.6969
34.0789,0.9676,0.0282,10.4498,6.3027,9.7695
33.9259,0.9706,0.0281,10.5296,6.3599,9.544
34.1945,0.9702,0.028,10.2351,5.9289,10.0592
