PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
33.9645,0.9801,0.0276,10.5178,6.2724,9.7644
35.3561,0.9759,0.0259,10.2047,6.3857,10.0321
34.1926,0.9807,0.0278,10.573,6.15,9.8575
34.7126,0.9733,0.0259,10.1659,6.1567,9.6751
34.2329,0.978,0.0278,10.5554,5.8311,9.7558
34.4795,0.9788,0.0272,10.6029,6.1602,9.6606
34.1533,0.9708,0.0305,10.2975,6.1591,9.4676
34.6354,0.9758,0.0281,10.9245,5.9347,9.8404
34.4883,0.9779,0.0288,10.7052,6.1954,9.2291
34.4939,0.977,0.0263,10.9319,6.1795,9.8674
34.3417,0.9753,0.0247,10.3089,6.2381,9.4005
35.1689,0.9675,0.027,10.5526,6.2166,9.7163
34.6163,0.9664,0.0279,10.7904,6.2037,9.698
34.5888,0.9739,0.0265,10.425,6.0614,9.6625
34.3718,0.9791,0.0273,10.5443,6.1241,9.6374
34.8342,0.9745,0.0274,10.3159,6.0313,9.7126
34.3618,0.9667,0.0265,10.1436,5.9664,9.813
34.4612,0.9747,0.0273,10.8051,6.2581,9.7615
33.9392,0.9774,0.0286,10.4153,5.7017,9.5304
33.5073,0.9645,0.0273,10.9393,6.2653,9.5209
34.4216,0.9764,0.0274,10.4854,6.154,9.8257
34.1362,0.979,0.027,10.3362,6.3152,10.0877
34.1816,0.9767,0.0269,10.436,6.128,9.6899
33.7562,0.9761,0.0279,10.5421,5.9112,10.0402
34.4475,0.9735,0.0284,10.3766,6.19,9.8382
34.687,0.9732,0.0283,10.7971,6.1137,9.3819
34.063,0.9747,0.0281,10.3779,6.1256,9.6328
33.8518,0.9709,0.0275,10.7658,6.3789,9.6032
34.2424,0.9737,0.0298,10.625,6.2911,9.6975
34.4403,0.9747,0.0271,10.6768,5.7116,9.7858
34.118,0.974,0.0286,10.3843,6.1628,9.5005
34.7292,0.9724,0.0266,10.2414,6.2595,10.0149
34.2076,0.9809,0.0299,10.522,6.2032,9.8772
34.2415,0.9759,0.0286,10.4226,5.916,9.6578
34.7763,0.9661,0.0276,10.8639,6.0727,9.7918
34.7598,0.9762,0.0283,10.6426,6.0107,9.927
34.2375,0.9705,0.0294,10.319,5.904,9.8834
35.1225,0.9711,0.0257,10.4865,6.2627,9.7036
34.7761,0.9678,0.0295,10.4851,6.296,9.7628
34.4305,0.9729,0.0258,10.5271,6.1009,10.1753
34.1004,0.9672,0.0266,10.471,6.3251,9.2512
34.9412,0.9695,0.0258,10.4101,6.1671,9.8252
34.8508,0.9758,0.0257,10.5453,6.3745,10.0074
33.27,0.9735,0.0263,10.3762,6.127,9.5409
34.0435,0.9717,0.0266,10.5337,5.9129,9.2791
33.9512,0.9729,0.0277,10.5393,5.9986,9.7286
34.8035,0.9807,0.0251,10.1351,6.353,10.5102
34.5291,0.9724,0.0271,10.4781,6.1332,9.946
33.9672,0.9705,0.0306,10.4364,6.5048,9.8388
34.3365,0.9752,0.027,10.3264,6.0569,10.1804
